center,left,right,steering,throttle,brake,speed
/IMG/center_2017_10_30_15_37_03_170.jpg, /IMG/left_2017_10_30_15_37_03_170.jpg, /IMG/right_2017_10_30_15_37_03_170.jpg,-0.1877023,0,0,3.158518
/IMG/center_2017_10_30_15_37_03_236.jpg, /IMG/left_2017_10_30_15_37_03_236.jpg, /IMG/right_2017_10_30_15_37_03_236.jpg,-0.1877023,0,0,3.133126
/IMG/center_2017_10_30_15_37_03_309.jpg, /IMG/left_2017_10_30_15_37_03_309.jpg, /IMG/right_2017_10_30_15_37_03_309.jpg,-0.1877023,0,0,3.114218
/IMG/center_2017_10_30_15_37_03_383.jpg, /IMG/left_2017_10_30_15_37_03_383.jpg, /IMG/right_2017_10_30_15_37_03_383.jpg,-0.1877023,0,0,3.089183
/IMG/center_2017_10_30_15_37_03_456.jpg, /IMG/left_2017_10_30_15_37_03_456.jpg, /IMG/right_2017_10_30_15_37_03_456.jpg,-0.1877023,0,0,3.06435
/IMG/center_2017_10_30_15_37_03_529.jpg, /IMG/left_2017_10_30_15_37_03_529.jpg, /IMG/right_2017_10_30_15_37_03_529.jpg,-0.1877023,0.1362429,0,3.094683
/IMG/center_2017_10_30_15_37_03_602.jpg, /IMG/left_2017_10_30_15_37_03_602.jpg, /IMG/right_2017_10_30_15_37_03_602.jpg,-0.1877023,0.355137,0,3.324915
/IMG/center_2017_10_30_15_37_03_675.jpg, /IMG/left_2017_10_30_15_37_03_675.jpg, /IMG/right_2017_10_30_15_37_03_675.jpg,-0.184466,0.6010575,0,3.792924
/IMG/center_2017_10_30_15_37_03_747.jpg, /IMG/left_2017_10_30_15_37_03_747.jpg, /IMG/right_2017_10_30_15_37_03_747.jpg,-0.171521,0.7914373,0,4.290097
/IMG/center_2017_10_30_15_37_03_820.jpg, /IMG/left_2017_10_30_15_37_03_820.jpg, /IMG/right_2017_10_30_15_37_03_820.jpg,-0.1585761,1,0,5.139139
/IMG/center_2017_10_30_15_37_03_893.jpg, /IMG/left_2017_10_30_15_37_03_893.jpg, /IMG/right_2017_10_30_15_37_03_893.jpg,-0.1585761,1,0,6.063402
/IMG/center_2017_10_30_15_37_03_966.jpg, /IMG/left_2017_10_30_15_37_03_966.jpg, /IMG/right_2017_10_30_15_37_03_966.jpg,-0.1585761,1,0,6.751788
/IMG/center_2017_10_30_15_37_04_039.jpg, /IMG/left_2017_10_30_15_37_04_039.jpg, /IMG/right_2017_10_30_15_37_04_039.jpg,-0.1585761,0.8906423,0,7.631444
/IMG/center_2017_10_30_15_37_04_112.jpg, /IMG/left_2017_10_30_15_37_04_112.jpg, /IMG/right_2017_10_30_15_37_04_112.jpg,-0.1585761,0.6710399,0,8.3142
/IMG/center_2017_10_30_15_37_04_185.jpg, /IMG/left_2017_10_30_15_37_04_185.jpg, /IMG/right_2017_10_30_15_37_04_185.jpg,-0.1585761,0.4794966,0,8.665886
/IMG/center_2017_10_30_15_37_04_258.jpg, /IMG/left_2017_10_30_15_37_04_258.jpg, /IMG/right_2017_10_30_15_37_04_258.jpg,-0.1585761,0.2334209,0,8.932761
/IMG/center_2017_10_30_15_37_04_330.jpg, /IMG/left_2017_10_30_15_37_04_330.jpg, /IMG/right_2017_10_30_15_37_04_330.jpg,-0.1585761,0.06950542,0,8.981455
/IMG/center_2017_10_30_15_37_04_402.jpg, /IMG/left_2017_10_30_15_37_04_402.jpg, /IMG/right_2017_10_30_15_37_04_402.jpg,-0.1585761,0,0,8.914577
/IMG/center_2017_10_30_15_37_04_475.jpg, /IMG/left_2017_10_30_15_37_04_475.jpg, /IMG/right_2017_10_30_15_37_04_475.jpg,-0.06796116,0,0,8.843846
/IMG/center_2017_10_30_15_37_04_547.jpg, /IMG/left_2017_10_30_15_37_04_547.jpg, /IMG/right_2017_10_30_15_37_04_547.jpg,-0.04854369,0,0,8.790593
/IMG/center_2017_10_30_15_37_04_620.jpg, /IMG/left_2017_10_30_15_37_04_620.jpg, /IMG/right_2017_10_30_15_37_04_620.jpg,-0.04854369,0,0,8.720166
/IMG/center_2017_10_30_15_37_04_692.jpg, /IMG/left_2017_10_30_15_37_04_692.jpg, /IMG/right_2017_10_30_15_37_04_692.jpg,-0.04854369,0,0,8.650189
/IMG/center_2017_10_30_15_37_04_765.jpg, /IMG/left_2017_10_30_15_37_04_765.jpg, /IMG/right_2017_10_30_15_37_04_765.jpg,-0.04854369,0,0,8.598026
/IMG/center_2017_10_30_15_37_04_837.jpg, /IMG/left_2017_10_30_15_37_04_837.jpg, /IMG/right_2017_10_30_15_37_04_837.jpg,-0.04530744,0,0,8.52896
/IMG/center_2017_10_30_15_37_04_910.jpg, /IMG/left_2017_10_30_15_37_04_910.jpg, /IMG/right_2017_10_30_15_37_04_910.jpg,-0.04530744,0,0,8.477517
/IMG/center_2017_10_30_15_37_04_982.jpg, /IMG/left_2017_10_30_15_37_04_982.jpg, /IMG/right_2017_10_30_15_37_04_982.jpg,-0.02912622,0.1358878,0,8.45914
/IMG/center_2017_10_30_15_37_05_054.jpg, /IMG/left_2017_10_30_15_37_05_054.jpg, /IMG/right_2017_10_30_15_37_05_054.jpg,-0.02265372,0.3787863,0,8.663825
/IMG/center_2017_10_30_15_37_05_127.jpg, /IMG/left_2017_10_30_15_37_05_127.jpg, /IMG/right_2017_10_30_15_37_05_127.jpg,-0.02265372,0.5692583,0,8.966586
/IMG/center_2017_10_30_15_37_05_199.jpg, /IMG/left_2017_10_30_15_37_05_199.jpg, /IMG/right_2017_10_30_15_37_05_199.jpg,-0.02265372,0.8141505,0,9.565452
/IMG/center_2017_10_30_15_37_05_272.jpg, /IMG/left_2017_10_30_15_37_05_272.jpg, /IMG/right_2017_10_30_15_37_05_272.jpg,-0.02265372,1,0,10.38399
/IMG/center_2017_10_30_15_37_05_344.jpg, /IMG/left_2017_10_30_15_37_05_344.jpg, /IMG/right_2017_10_30_15_37_05_344.jpg,-0.02265372,1,0,11.04741
/IMG/center_2017_10_30_15_37_05_417.jpg, /IMG/left_2017_10_30_15_37_05_417.jpg, /IMG/right_2017_10_30_15_37_05_417.jpg,-0.02265372,1,0,12.05425
/IMG/center_2017_10_30_15_37_05_489.jpg, /IMG/left_2017_10_30_15_37_05_489.jpg, /IMG/right_2017_10_30_15_37_05_489.jpg,-0.02265372,1,0,12.55299
/IMG/center_2017_10_30_15_37_05_562.jpg, /IMG/left_2017_10_30_15_37_05_562.jpg, /IMG/right_2017_10_30_15_37_05_562.jpg,-0.02588997,1,0,13.39364
/IMG/center_2017_10_30_15_37_05_635.jpg, /IMG/left_2017_10_30_15_37_05_635.jpg, /IMG/right_2017_10_30_15_37_05_635.jpg,-0.02588997,1,0,14.15543
/IMG/center_2017_10_30_15_37_05_708.jpg, /IMG/left_2017_10_30_15_37_05_708.jpg, /IMG/right_2017_10_30_15_37_05_708.jpg,-0.03236246,1,0,15.05422
/IMG/center_2017_10_30_15_37_05_781.jpg, /IMG/left_2017_10_30_15_37_05_781.jpg, /IMG/right_2017_10_30_15_37_05_781.jpg,-0.04854369,1,0,15.91154
